Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare
----------------+------------------+----------------------------------------+------------+-------------------------------------
FGPN00_00001    |IT_SY.103996.02A01|GRUPPO PNEUMATICO 1/2" COMPLETO         |FESTO       |COSTITUITO DA:VALV. MAN. LUCCHETTABILE FILTRO + REG. + MANOMETRO ELETTROVALV. 3/2 24VDC PRESSOSTATO CON CONT. SCAMBIO

FGPN00_00002    |8900408052        |GRUPPO PNEUMATICO NL4 ASSEMBLATO        |BOSCH       |COD.ASS.SMARTPAC: AROLFRLNL4 COSTITUITO DA: VALV. 3/2 MAN. LUCCHETTABILE NL4 FR NL4 5 MIC. SCAR.SEMIATOMATICO PRESSOSTATO REG.0-8BAR FLANGIATO INTERC. ELETTRICA 3/2 NL4 24VDC

FGPN00_00003    |AC40-F04D-I318    |GRUPPO PNEUMATICO 1/2" COMPLETO         |S.M.C.      |COSTITUITO DA:VALV. MAN. LUCCHETTABILE FILTRO + REG. + MANOMETRO ELETTROVALV. 3/2 24VDC PRESSOSTATO CON CONT. SCAMBIO

FGPN00_00004    |531029            |GRUPPO PNEUMATICO BLOCCAGGIO            |FESTO       |531029 MSB4-1/4:O1:F2:O1-WPB

FTUB00_00095    |98QTE4X6AAAA100L  |MULTITUBO 4 TUBI PUR ELASTOLLAN D.4X6   |METAL WORK  |COLORE AZZURO TERMOSALDATO IN LINEA ORIZZONTALE

HCABL0000000    |SCH_EL            |SCHEMA ELETTRICO                        |AROL        |

HHALIM_CB001    |776-0813          |ALIMENTATORE 12V 2,5A                   |R.S.        |ANSMANN 9C94276 SLA TRAVELLER EU/UK/USA/AUS

HHALIM_CB002    |843604            |ALIMENTATORE 5V 2,1A DOPPIA PORTA USB   |DISTRELEC   |INNERGIE ADATTATORE DA PARETE

HHALIM_DEV01    |DEV2.0B20         |UNITA' DEV 2.0 2KWS IP20                |KOCH        |

HHALIM_DEV02    |EM2.0B20          |MODULO DI ESPANSIONE 1 CONDENSATORE IP20|KOCH        |USARE CON HHALIM_DEV01 
